,city,lat,lon,countries,humidity,cloudiness,max_temp,wind_speed
336,Ponta Delgada,37.73,-25.67,PT,77,40,64.4,4.7
337,Bonanza,14.03,-84.62,NI,98,1,72.55,2.35
338,Tevaitoa,-16.78,-151.5,PF,79,58,81.28,13.02
339,Saint-Augustin,45.63,-73.98,CA,64,90,43.0,3.36
340,Sterling,39.0,-77.4,US,53,1,51.8,4.07
341,Gaoua,10.33,-3.18,BF,52,6,79.56,5.3
342,Demba,-5.47,22.27,CD,96,100,68.92,1.5
343,Ous,60.91,61.52,RU,95,96,19.45,3.27
344,Ostersund,63.18,14.64,SE,91,92,32.0,5.82
345,Inongo,-1.93,18.29,CD,94,64,70.59,1.61
346,Hokitika,-42.72,170.96,NZ,80,0,56.35,6.02
347,Kasongo-Lunda,-6.48,16.82,CD,97,100,67.46,1.57
348,Vila,45.18,8.4,IT,100,90,52.0,3.36
349,Hobyo,5.35,48.53,SO,77,93,79.7,18.1
350,Arinos,-15.92,-46.11,BR,92,97,68.92,4.7
351,Lupiro,-8.39,36.67,TZ,73,13,74.62,9.98
352,Nizhniy Tsasuchey,50.52,115.13,RU,43,0,26.49,9.1
353,Hami,42.84,93.51,CN,33,5,44.62,1.95
354,Maxixe,-23.86,35.35,MZ,75,55,74.61,11.34
355,Balotra,25.83,72.24,IN,63,19,78.13,3.11
356,Kathmandu,27.71,85.32,NP,100,20,57.2,2.24
357,Saint Lawrence,36.06,14.2,MT,88,20,66.0,3.36
358,Xining,36.62,101.77,CN,44,0,32.5,4.38
359,Crepy-en-Valois,49.23,2.89,FR,87,75,53.6,17.22
360,Kirkcudbright,54.84,-4.04,GB,88,20,45.0,3.0
361,Goderich,43.74,-81.71,CA,59,94,44.01,4.0
362,Slave Lake,55.28,-114.77,CA,80,90,41.0,3.36
363,Camacupa,-12.02,17.48,AO,56,83,69.67,0.45
364,Olga,34.11,-118.17,US,3,1,87.8,5.82
365,College,64.86,-147.8,US,100,90,21.0,1.03
366,Burgos,42.34,-3.7,ES,81,75,52.0,21.92
367,Sao Filipe,14.9,-24.5,CV,76,0,77.11,15.14
368,Guilin,25.28,110.29,CN,100,90,64.4,7.07
369,Haines Junction,60.75,-137.51,CA,98,100,31.55,4.52
370,Lasa,34.92,32.53,CY,77,20,64.4,9.17
371,Hovd,63.83,10.7,NO,100,90,36.0,3.36
372,Sinnamary,5.38,-52.96,GF,78,64,82.76,16.75
373,Dom Pedrito,-30.98,-54.67,BR,97,100,66.34,2.3
374,Sola,-3.17,33.8,TZ,54,32,70.09,3.53
375,Wageningen,51.98,5.66,NL,76,75,54.0,16.11
376,Mandalgovi,45.76,106.27,MN,81,0,32.72,5.82
377,Solnechnyy,50.72,136.64,RU,67,100,28.85,3.11
378,Saint George,39.45,22.34,GR,93,20,51.8,4.7
379,Erenhot,43.65,111.97,CN,73,17,42.62,6.22
380,Poum,41.28,20.71,MK,87,100,50.36,6.02
381,Beberibe,-4.18,-38.13,BR,74,20,80.6,10.29
382,Gao,16.28,-0.04,ML,12,67,85.73,6.06
383,Gonaives,19.45,-72.68,HT,92,8,69.37,5.06
384,Tukums,56.97,23.17,LV,93,90,41.0,10.29
385,Uglerodovskiy,48.15,40.06,RU,59,16,24.64,6.8
386,Chernyshevskiy,63.01,112.47,RU,84,66,21.07,11.77
387,Los Llanos de Aridane,28.66,-17.92,ES,88,51,75.0,9.17
388,Howard,44.01,-97.53,US,56,1,48.2,5.82
389,Benguela,-12.58,13.4,AO,88,97,74.88,4.09
390,Baghdad,33.3,44.38,IQ,59,74,64.4,2.24
391,Fairhaven,41.64,-70.9,US,56,40,46.99,4.7
392,Ormara,25.21,64.64,PK,69,0,83.12,9.51
393,Azul,-36.78,-59.86,AR,73,0,51.76,6.53
394,Zhireken,52.82,117.29,RU,53,0,18.7,4.79
395,Cairns,-16.92,145.77,AU,69,75,86.0,6.93
396,Meybod,32.25,54.02,IR,30,0,57.2,4.7
397,San Quintin,17.54,120.52,PH,76,90,79.21,2.71
